Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,humidity,windspeedKmph,tempC,visibility,DewPointC,precipMM,pressure
2019-08-11 06:00:00,20.70958333333333,56.75791666666666,10.241666666666667,24.249583333333334,23.852083333333336,23.97791666666667,0.9187499999999998,8.455833333333333,24.984166666666667,1.2383333333333333,12.486249999999998,60.708333333333336,15.458333333333334,32.708333333333336,9.625,23.958333333333332,0.008333333333333333,996.5416666666666
2019-08-11 07:00:00,21.40625,58.14416666666667,10.5675,24.549166666666665,24.33708333333333,23.993750000000002,0.9225,8.435833333333333,24.65041666666666,1.2645833333333334,12.742916666666666,60.416666666666664,14.833333333333334,32.791666666666664,9.625,23.958333333333332,0.008333333333333333,996.625
2019-08-11 08:00:00,22.117499999999996,59.66083333333333,10.761249999999999,24.749583333333334,24.623333333333335,24.035,0.9295833333333333,8.425833333333335,24.325416666666666,1.2895833333333333,13.01,60.041666666666664,14.208333333333334,32.875,9.625,23.916666666666668,0.008333333333333333,996.7083333333334
2019-08-11 09:00:00,22.781666666666666,60.75833333333333,10.775416666666667,25.04125,24.68375,24.02916666666667,0.9400000000000001,8.416666666666666,24.079166666666666,1.3108333333333333,13.190833333333332,59.625,13.541666666666666,32.958333333333336,9.625,23.875,0.008333333333333333,996.7916666666666
2019-08-11 10:00:00,23.117500000000003,60.979166666666664,10.970833333333333,25.100833333333338,24.850833333333338,24.05416666666667,0.9416666666666665,8.4225,24.00125,1.3145833333333334,13.200833333333334,59.125,13.0,33.041666666666664,9.583333333333334,23.833333333333332,0.008333333333333333,996.875
2019-08-11 11:00:00,23.309583333333332,61.36375,10.945416666666667,25.13416666666667,24.955416666666668,24.133333333333336,0.9387500000000001,8.391666666666667,23.90125,1.3004166666666668,13.079166666666666,58.583333333333336,12.541666666666666,33.166666666666664,9.583333333333334,23.791666666666668,0.008333333333333333,996.9583333333334
2019-08-11 12:00:00,23.510416666666668,61.67416666666666,10.927083333333334,25.232916666666668,25.01291666666667,24.21875,0.9395833333333333,8.360416666666667,24.09375,1.2925,12.977916666666667,58.041666666666664,12.166666666666666,33.291666666666664,9.583333333333334,23.708333333333332,0.008333333333333333,997.0
2019-08-11 13:00:00,23.809166666666666,62.365833333333335,10.905416666666667,25.363333333333333,25.082083333333333,24.300833333333333,0.9383333333333334,8.385,24.504166666666666,1.25625,12.907499999999999,57.541666666666664,11.791666666666666,33.416666666666664,9.583333333333334,23.625,0.008333333333333333,997.0416666666666
2019-08-11 14:00:00,24.125416666666666,63.540416666666665,10.862499999999999,25.402500000000003,25.068749999999998,24.403333333333336,0.9362499999999999,8.423333333333334,24.96916666666667,1.23375,12.887083333333335,57.083333333333336,11.5,33.5,9.541666666666666,23.541666666666668,0.004166666666666667,997.0416666666666
2019-08-11 15:00:00,24.494583333333335,64.36291666666666,10.879166666666668,25.522499999999997,25.150000000000002,24.567916666666665,0.9358333333333332,8.464166666666666,25.341250000000002,1.2258333333333333,12.980000000000002,56.708333333333336,11.25,33.625,9.5,23.458333333333332,0.0,997.0833333333334
2019-08-11 16:00:00,24.88166666666667,65.55624999999999,10.8775,25.760833333333334,25.279166666666665,24.792500000000004,0.9370833333333333,8.49875,25.672500000000003,1.2183333333333333,12.995416666666666,56.333333333333336,10.958333333333334,33.708333333333336,9.5,23.375,0.0,997.0833333333334
2019-08-11 17:00:00,25.17125,66.23375,10.876666666666667,25.812916666666666,25.30125,24.914999999999996,0.9316666666666666,8.527916666666668,25.858333333333334,1.2058333333333333,13.036666666666667,55.958333333333336,10.666666666666666,33.791666666666664,9.5,23.333333333333332,0.0,997.0833333333334
2019-08-11 18:00:00,25.36208333333333,66.56375,10.916666666666666,25.789166666666663,25.309166666666666,25.034166666666668,0.9325,8.560833333333333,25.965833333333332,1.18875,13.040416666666667,55.625,10.375,33.875,9.5,23.291666666666668,0.0,997.0833333333334
2019-08-11 19:00:00,25.57875,66.88208333333334,11.061250000000001,25.84166666666667,25.48625,25.192916666666665,0.9320833333333334,8.599583333333333,26.010416666666668,1.1791666666666667,13.220416666666667,55.291666666666664,10.083333333333334,33.916666666666664,9.5,23.25,0.0,997.125
2019-08-11 20:00:00,25.735833333333332,67.15124999999999,11.30625,25.933750000000003,25.780833333333334,25.38875,0.9325,8.630416666666667,26.048333333333332,1.1583333333333332,13.145416666666668,54.958333333333336,9.791666666666666,34.0,9.5,23.208333333333332,0.0,997.125
2019-08-11 21:00:00,25.670833333333334,67.37958333333334,11.534583333333332,26.050833333333333,26.070833333333336,25.625,0.9429166666666666,8.64625,26.073333333333334,1.1395833333333334,13.043333333333331,54.583333333333336,9.5,34.083333333333336,9.5,23.166666666666668,0.0,997.1666666666666
2019-08-11 22:00:00,25.62125,67.48333333333333,11.540416666666667,26.000833333333333,26.040833333333335,25.85291666666667,0.95125,8.647916666666667,26.14625,1.1225,13.052083333333334,54.208333333333336,9.208333333333334,34.166666666666664,9.458333333333334,23.166666666666668,0.0,997.1666666666666
2019-08-11 23:00:00,25.533749999999998,67.15458333333333,11.453333333333333,25.92833333333333,25.926666666666666,25.925416666666667,0.9570833333333333,8.650833333333333,26.21291666666667,1.1108333333333333,13.102083333333333,53.833333333333336,8.916666666666666,34.25,9.458333333333334,23.166666666666668,0.012499999999999999,997.1666666666666
2019-08-12 00:00:00,25.231250000000003,66.82333333333334,11.376666666666667,25.835833333333337,25.822916666666668,25.995833333333334,0.9595833333333332,8.654583333333333,26.300833333333333,1.09375,13.040000000000001,53.416666666666664,8.625,34.333333333333336,9.458333333333334,23.166666666666668,0.029166666666666664,997.1666666666666
2019-08-12 01:00:00,24.891666666666666,66.45083333333334,11.329166666666666,25.7,25.7675,26.062916666666666,0.9554166666666667,8.633333333333335,26.331666666666667,1.0766666666666667,12.949999999999998,53.083333333333336,8.375,34.416666666666664,9.416666666666666,23.166666666666668,0.0375,997.1666666666666
2019-08-12 02:00:00,24.706249999999997,65.95625,11.152916666666668,25.58666666666667,25.58875,26.178749999999997,0.9574999999999999,8.549999999999999,26.374166666666667,1.0537500000000002,12.672916666666667,52.791666666666664,8.208333333333334,34.5,9.375,23.166666666666668,0.075,997.1666666666666
2019-08-12 03:00:00,24.329583333333332,64.88833333333334,10.905833333333334,25.444583333333338,25.277916666666666,26.185000000000002,0.9541666666666667,8.482083333333334,25.805416666666662,1.0266666666666666,12.415833333333332,52.541666666666664,8.125,34.583333333333336,9.291666666666666,23.166666666666668,0.125,997.1666666666666
2019-08-12 04:00:00,23.7825,63.567083333333336,10.740833333333335,25.292083333333334,25.040833333333335,26.160416666666666,0.9504166666666666,8.401666666666667,25.385833333333334,1.0004166666666665,12.066666666666668,52.333333333333336,8.166666666666666,34.625,9.208333333333334,23.166666666666668,0.15,997.1666666666666
2019-08-12 05:00:00,23.048333333333332,61.939166666666665,10.628333333333334,25.177083333333332,24.881250000000005,26.116666666666664,0.9570833333333333,8.323749999999999,24.87166666666667,1.0137500000000002,11.820833333333333,52.208333333333336,8.25,34.666666666666664,9.125,23.166666666666668,0.19166666666666665,997.1666666666666
2019-08-12 06:00:00,22.194999999999997,60.46625,10.560833333333333,25.09166666666667,24.7825,26.075,0.9516666666666667,8.263333333333334,24.693749999999998,1.03125,11.62625,52.166666666666664,8.458333333333334,34.708333333333336,9.041666666666666,23.166666666666668,0.24583333333333335,997.1666666666666
2019-08-12 07:00:00,21.414999999999996,59.16958333333333,10.476249999999999,24.993333333333336,24.626250000000002,26.028750000000002,0.9433333333333334,8.232916666666666,24.683333333333337,1.07625,11.495,52.125,8.625,34.75,9.0,23.208333333333332,0.2708333333333333,997.1666666666666
2019-08-12 08:00:00,20.763333333333332,58.03333333333333,10.417083333333332,25.020416666666666,24.584166666666665,25.942916666666665,0.9366666666666666,8.206666666666665,24.594583333333336,1.1058333333333334,11.384166666666665,52.083333333333336,8.708333333333334,34.791666666666664,8.958333333333334,23.25,0.28750000000000003,997.1666666666666
2019-08-12 09:00:00,20.21125,57.19416666666666,10.465833333333332,24.866666666666664,24.64708333333333,25.914166666666663,0.92875,8.181666666666667,24.488333333333333,1.11375,11.310833333333333,52.041666666666664,8.75,34.833333333333336,8.958333333333334,23.291666666666668,0.30833333333333335,997.1666666666666
2019-08-12 10:00:00,19.885,56.68083333333333,10.38375,24.996666666666666,24.69583333333333,25.850416666666664,0.9283333333333333,8.154583333333333,24.250416666666666,1.1620833333333334,11.377083333333333,51.958333333333336,8.75,34.875,9.0,23.291666666666668,0.31666666666666665,997.1666666666666
2019-08-12 11:00:00,19.6575,56.10333333333333,10.579166666666667,25.129166666666666,24.831666666666667,25.729583333333334,0.9320833333333334,8.137916666666667,23.854583333333334,1.1804166666666667,11.602916666666667,51.875,8.75,34.916666666666664,9.041666666666666,23.291666666666668,0.3333333333333333,997.125
2019-08-12 12:00:00,19.3,54.679166666666674,10.656666666666668,25.257500000000004,24.931249999999995,25.673333333333336,0.9370833333333333,8.127916666666666,23.346666666666668,1.19625,11.887916666666667,51.75,8.75,34.958333333333336,9.083333333333334,23.291666666666668,0.35833333333333334,997.125
